Ravenscourt Park Underground Station entrance 2,51.493976,-0.236333
Roding Valley Underground Station entrance 1,51.617344,0.043552
Roding Valley Underground Station entrance 2,51.616853,0.043877
Rayners Lane Underground Station entrance 1,51.574953,-0.370759
Royal Oak Underground Station entrance 1,51.519113,-0.188777
Shepherds Bush (Central Line) Underground Stn entrance 1,51.504627,-0.218141
Shepherds Bush (Central Line) Underground Stn entrance 2,51.505009,-0.217823
Shepherds Bush Market Underground Station entrance 1,51.505703,-0.226269
Shepherds Bush Market Underground Station entrance 2,51.505752,-0.226541
South Ealing Underground Station entrance 1,51.501382,-0.306848
Stamford Brook Underground Station entrance 1,51.494996,-0.246781
Stamford Brook Underground Station entrance 2,51.494951,-0.244968
Southfields Underground Station entrance 1,51.444866,-0.206538
Southfields Underground Station entrance 2,51.445097,-0.206356
Stepney Green Underground Station entrance 1,51.521805,-0.046612
Southgate Underground Station entrance 1,51.632319,-0.128061
Southgate Underground Station entrance 2,51.63255,-0.127864
South Harrow Underground Station entrance 1,51.564916,-0.352592
South Harrow Underground Station entrance 2,51.564793,-0.352813
St. James Park Underground Station entrance 1,51.499626,-0.133129
St. James Park Underground Station entrance 2,51.499059,-0.135342
St. James Park Underground Station entrance 3,51.499644,-0.133647
St. James Park Underground Station entrance 4,51.499369,-0.133355
St Johns Wood Underground Station entrance 1,51.534542,-0.174149
South Kensington Underground Station entrance 1,51.493843,-0.173039
South Kensington Underground Station entrance 2,51.494075,-0.174096
South Kensington Underground Station entrance 3,51.494201,-0.174091
South Kensington Underground Station entrance 4,51.494705,-0.173494
South Kensington Underground Station entrance 5,51.495671,-0.173773
Stockwell Underground Station entrance 1,51.472248,-0.122655
Stockwell Underground Station entrance 2,51.472439,-0.122835
Snaresbrook Underground Station entrance 1,51.581029,0.021427
Snaresbrook Underground Station entrance 2,51.581135,0.021518
Snaresbrook Underground Station entrance 3,51.581259,0.02161
Snaresbrook Underground Station entrance 4,51.58094,0.021841
St. Pauls Underground Station entrance 1,51.515099,-0.097084
St. Pauls Underground Station entrance 2,51.514881,-0.09754
Sloane Square Underground Station entrance 1,51.492489,-0.156628
Sloane Square Underground Station entrance 2,51.492169,-0.156252
Stanmore Underground Station entrance 1,51.61973,-0.303169
Stanmore Underground Station entrance 2,51.619827,-0.301808
Stanmore Underground Station entrance 3,51.619647,-0.303649
Sudbury Hill Underground Station entrance 1,51.556233,-0.336259
Sudbury Hill Underground Station entrance 2,51.557012,-0.336072
Sudbury Town Underground Station entrance 1,51.550367,-0.31592
Sudbury Town Underground Station entrance 2,51.550947,-0.315581
Seven Sisters Underground Station entrance 1,51.581889,-0.075185
Seven Sisters Underground Station entrance 2,51.583794,-0.072362
Seven Sisters Underground Station entrance 3,51.583202,-0.072445
Seven Sisters Underground Station entrance 4,51.583697,-0.071976
Seven Sisters Underground Station entrance 5,51.583285,-0.072066
Swiss Cottage Underground Station entrance 1,51.543604,-0.175113
Swiss Cottage Underground Station entrance 2,51.543247,-0.174738
Swiss Cottage Underground Station entrance 3,51.543526,-0.175881
Swiss Cottage Underground Station entrance 4,51.543305,-0.174404
Swiss Cottage Underground Station entrance 5,51.54366,-0.174693
South Woodford Underground Station entrance 1,51.591928,0.027685
South Woodford Underground Station entrance 2,51.592178,0.027249
Southwark Underground Station entrance 1,51.503765,-0.104689
Southwark Underground Station entrance 2,51.504144,-0.105841
South Wimbledon Underground Station entrance 1,51.415271,-0.19251
Totteridge & Whetstone Underground Station entrance 1,51.630184,-0.179285
Tooting Bec Underground Station entrance 1,51.435494,-0.159455
Tooting Bec Underground Station entrance 2,51.435759,-0.159718
Tooting Bec Underground Station entrance 3,51.43545,-0.159515
Tooting Bec Underground Station entrance 4,51.435738,-0.159517
Tooting Broadway Underground Station entrance 1,51.427932,-0.168088
Tottenham Court Road Underground Station entrance 1,51.51633,-0.130615
Tottenham Court Road Underground Station entrance 2,51.516622,-0.130286
Tottenham Court Road Underground Station entrance 3,51.5162,-0.130304
Tottenham Court Road Underground Station entrance 4,51.516217,-0.13026
Tufnell Park Underground Station entrance 1,51.556719,-0.138164
Tufnell Park Underground Station entrance 2,51.556851,-0.138014
Temple Underground Station entrance 1,51.51101,-0.113972
Turnham Green Underground Station entrance 1,51.495382,-0.255208
Turnpike Lane Underground Station entrance 1,51.590478,-0.102901
Turnpike Lane Underground Station entrance 2,51.590573,-0.102623
Turnpike Lane Underground Station entrance 3,51.590562,-0.103619
Turnpike Lane Underground Station entrance 4,51.590227,-0.103503
Tower Hill Underground Station entrance 1,51.5102,-0.07681
Tower Hill Underground Station entrance 2,51.509835,-0.07648
Upminster Bridge Underground Station entrance 1,51.559008,0.235875
Upton Park Underground Station entrance 1,51.535485,0.035212
Upton Park Underground Station entrance 2,51.53534,0.035292
Upton Park Underground Station entrance 3,51.535234,0.035172
Upney Underground Station entrance 1,51.538488,0.101564
Uxbridge Underground Station entrance 1,51.546051,-0.479221
Uxbridge Underground Station entrance 2,51.546423,-0.478761
Victoria Underground Station entrance 5,51.495549,-0.141968
